hex_id,residential,transport,medical,supermarkets,offices,education,parks,pharmacy_comp,cafe_comp,pvz_comp
89119ed894fffff,3,0,0,0,0,0,0,0,1,0
89119ed8ab7ffff,6,2,0,0,0,0,1,1,3,1
89119ed8bcbffff,8,1,0,2,1,0,0,1,4,5
89119eca5bbffff,14,1,0,1,1,1,1,0,0,0
89119eca5a3ffff,28,1,0,1,4,1,0,0,0,1
89119ed882bffff,0,0,0,0,1,0,0,0,4,0
89119eca453ffff,8,1,1,0,0,0,1,0,0,0
89119ed8a4fffff,13,2,0,2,0,0,1,1,1,0
89119ed8a83ffff,8,4,3,1,6,0,0,2,4,1
89119eca6b3ffff,7,0,0,1,0,0,0,0,0,1
89119ed8bc7ffff,5,1,0,0,0,1,0,0,0,0
89119ed8bc3ffff,1,1,1,1,4,0,0,0,3,1
89119ed8bb3ffff,1,0,0,0,6,0,0,0,2,0
89119ed8e67ffff,5,3,0,1,0,0,1,0,0,0
89119ec16c7ffff,6,0,0,1,0,0,0,0,0,0
89119ed894bffff,1,0,0,1,5,1,0,0,1,0
89119eca5cfffff,5,0,0,0,1,0,0,0,0,0
89119eca4d7ffff,10,0,1,0,9,0,0,0,0,1
89119ed8b03ffff,6,0,2,0,6,0,0,1,2,0
89119ed8b17ffff,4,0,0,1,7,0,0,0,1,1
89119eca40fffff,2,0,0,1,0,0,1,0,0,0
89119ed8947ffff,0,0,0,0,0,0,0,0,1,0
89119ed8867ffff,11,0,0,0,1,0,1,0,1,0
89119ed8babffff,16,0,0,0,3,0,1,1,0,1
89119ed8b0fffff,4,1,0,1,1,0,0,1,1,0
89119ed8bdbffff,2,2,1,0,3,0,1,0,1,0
89119ec16d3ffff,6,0,0,0,0,0,0,0,1,1
89119ec164bffff,1,0,0,2,5,0,0,0,1,0
89119ed8a1bffff,0,0,1,0,0,0,0,0,1,0
89119eca5c7ffff,4,0,1,1,1,0,1,0,0,0
89119eca59bffff,4,0,0,0,2,0,1,1,2,0
89119ed8a23ffff,0,0,0,0,1,0,0,0,0,0
89119eca457ffff,7,0,0,1,0,0,0,1,2,1
89119ed8877ffff,3,1,0,0,0,0,0,0,0,0
89119ec16cbffff,15,2,2,1,0,0,0,0,0,0
89119ed885bffff,0,2,0,0,1,0,0,0,0,0
89119ed8aa3ffff,0,2,0,0,0,0,0,0,0,0
89119eca413ffff,1,0,0,1,6,0,1,0,0,1
89119ed8963ffff,6,1,0,1,2,0,1,1,0,1
89119ed8a77ffff,0,0,1,2,5,0,0,0,0,0
89119ed8a2fffff,9,0,0,1,3,0,0,0,0,0
89119ed8943ffff,0,0,2,0,1,0,0,0,0,0
